StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Spatial Timer_1,Spatial Timer_2,Spatial Timer_3,Spatial Timer_4,Spatial Timer_5,Spatial Timer_6,Spatial Timer_7,Spatial Timer_8,Spatial Timer_9,Spatial Timer_10,Baseline_1,Baseline_2,Baseline_3,Baseline_4,Baseline_5,Baseline_6,Baseline_7,Baseline_8,Baseline_9,Baseline_10
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Baseline Timer
Referenced by System Usability Scale

© Digital Equipment Corporation, 1986. - I think that I would like to use the Timer frequently","Baseline Timer
Referenced by System Usability Scale

© Digital Equipment Corporation, 1986. - I found the Timer unnecessarily complex","Baseline Timer
Referenced by System Usability Scale

© Digital Equipment Corporation, 1986. - I thought the Timer  was easy to use","Baseline Timer
Referenced by System Usability Scale

© Digital Equipment Corporation, 1986. - I think that I would need the support of a technical person to be able to use this Timer","Baseline Timer
Referenced by System Usability Scale

© Digital Equipment Corporation, 1986. - I found the various functions in this Timer were well integrated","Baseline Timer
Referenced by System Usability Scale

© Digital Equipment Corporation, 1986. - I thought there was too much inconsistency in this Timer","Baseline Timer
Referenced by System Usability Scale

© Digital Equipment Corporation, 1986. - I would imagine that most people would learn to use this Timer very quickly","Baseline Timer
Referenced by System Usability Scale

© Digital Equipment Corporation, 1986. - I found the Timer very cumbersome to use","Baseline Timer
Referenced by System Usability Scale

© Digital Equipment Corporation, 1986. - I felt very confident using the Timer","Baseline Timer
Referenced by System Usability Scale

© Digital Equipment Corporation, 1986. - I needed to learn a lot things before I could get going with this Timer","Virtual Spatial Timer
referenced by System Usability Scale

© Digital Equipment Corporation, 1986. - I think that i would like to use this spatial timer frequently","Virtual Spatial Timer
referenced by System Usability Scale

© Digital Equipment Corporation, 1986. - I found this spatial timer unnecessarily complex","Virtual Spatial Timer
referenced by System Usability Scale

© Digital Equipment Corporation, 1986. - I thought the spatial timer was easy to use","Virtual Spatial Timer
referenced by System Usability Scale

© Digital Equipment Corporation, 1986. - I think that I would need the support of a technical person to be able to use this spatial timer","Virtual Spatial Timer
referenced by System Usability Scale

© Digital Equipment Corporation, 1986. - I found the various functions in this spatial timer were well integrated","Virtual Spatial Timer
referenced by System Usability Scale

© Digital Equipment Corporation, 1986. - I thought there was too much inconsistency in this spatial timer","Virtual Spatial Timer
referenced by System Usability Scale

© Digital Equipment Corporation, 1986. - I would imagine that most people would learn to use this timer very quickly","Virtual Spatial Timer
referenced by System Usability Scale

© Digital Equipment Corporation, 1986. - I found the spatial timer very cumbersome to use","Virtual Spatial Timer
referenced by System Usability Scale

© Digital Equipment Corporation, 1986. - I felt very confident using the spatial timer","Virtual Spatial Timer
referenced by System Usability Scale

© Digital Equipment Corporation, 1986. - I needed to learn a lot things before I could get going with this spatial timer"
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID2_2""}","{""ImportId"":""QID2_3""}","{""ImportId"":""QID2_4""}","{""ImportId"":""QID2_5""}","{""ImportId"":""QID2_6""}","{""ImportId"":""QID2_7""}","{""ImportId"":""QID2_8""}","{""ImportId"":""QID2_9""}","{""ImportId"":""QID2_10""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID4_2""}","{""ImportId"":""QID4_3""}","{""ImportId"":""QID4_4""}","{""ImportId"":""QID4_5""}","{""ImportId"":""QID4_6""}","{""ImportId"":""QID4_7""}","{""ImportId"":""QID4_8""}","{""ImportId"":""QID4_9""}","{""ImportId"":""QID4_10""}"
06/02/2024 18:30,06/02/2024 18:42,Survey Preview,,100,724,TRUE,06/02/2024 18:42,R_2MRpWDk7MRjQokQ,,,,,51.5026,-0.0668,preview,EN-GB,Strongly agree,Somewhat disagree,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Somewhat disagree
06/02/2024 18:45,06/02/2024 18:49,Survey Preview,,100,219,TRUE,06/02/2024 18:49,R_2dNvRZaqw0oAAXL,,,,,51.5026,-0.0668,preview,EN-GB,Somewhat agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat disagree
07/02/2024 15:11,07/02/2024 15:14,IP Address,130.209.157.52,100,216,TRUE,07/02/2024 15:14,R_2P6Gyn4cdePyadw,,,,,55.8803,-4.3055,anonymous,EN-GB,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree
07/02/2024 15:10,07/02/2024 15:15,IP Address,109.144.218.110,100,321,TRUE,07/02/2024 15:15,R_3LptDGSxA7sq03U,,,,,51.4863,-0.1916,anonymous,EN-GB,Strongly agree,Somewhat disagree,Strongly agree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree
07/02/2024 16:59,07/02/2024 17:06,IP Address,130.209.157.49,100,400,TRUE,07/02/2024 17:06,R_28AIgdVtn16sJrn,,,,,55.8803,-4.3055,anonymous,EN-GB,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Strongly agree
07/02/2024 17:31,07/02/2024 17:38,IP Address,130.209.157.52,100,401,TRUE,07/02/2024 17:38,R_8xHy00ArMl7i8eZ,,,,,55.8803,-4.3055,anonymous,EN-GB,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree
07/02/2024 22:49,07/02/2024 22:52,IP Address,109.144.218.110,100,160,TRUE,07/02/2024 22:52,R_409aUqVV7TUACbc,,,,,51.4863,-0.1916,anonymous,EN-GB,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree
07/02/2024 23:06,07/02/2024 23:07,IP Address,109.144.218.110,100,50,TRUE,07/02/2024 23:07,R_4t5A0q9MCuZZXyS,,,,,51.4863,-0.1916,anonymous,EN-GB,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree
